steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_kl
1061	17	3285.7128365039825	4.613134258335903	2.0848384818037955	5.9389747281514875	20.113911917860797	-5.618787486764235	-0.0007014859447730703	1.437103759618695	0
2046	33	6767.797317504883	4.359001681887212	2.919926318543431	5.974732202460896	16.28316503514752	-17.12060826513094	-0.0009557833647163781	1.9134608499414998	0
3001	48	10863.96766781807	4.061587060073551	2.0298531531792334	6.308940881299589	18.725707247916965	-17.27740375768652	-0.001145450200066561	2.0880253386308003	0
4002	61	16758.361151218414	4.708977032682759	2.9464085479288897	5.9722419856925475	19.72535732982542	-13.158708092149435	-0.0011462316834738846	2.157064604517504	0
5020	78	20262.47451519966	3.62153420809461	1.8889629694944305	5.77144334620578	17.436456115228218	-12.738486913567499	-0.0011385496972256713	2.182673378083422	0
6043	96	23849.714058876038	4.549762978097386	2.6022633417494188	5.784806318093334	19.992401809328882	-14.976011947123817	-0.0011146007698863065	2.191949550984125	0
7027	113	27060.77984046936	4.227094087225882	3.0675294293385003	6.740358053740498	18.289466549606388	-13.892163036008412	-0.0011056220664945786	2.1952063541108404	0
8033	127	30454.87998008728	4.758177507720345	2.7598953077823274	5.720143276425451	16.791287670134412	-6.452284415013889	-0.0012750906736425434	2.196423597120362	0
9046	141	34026.62044930458	4.651210093245591	3.6230439002869224	5.572241578001422	17.27914594868739	-8.085117807213546	-0.0012106151438001764	2.1968831092522616	0
10016	156	37599.43520832062	3.925585223597217	1.7678015418916417	6.117387721437314	18.79453796108981	-7.852074510312096	-0.0012287066279768795	2.1970421824410966	0
11017	170	41153.62357211113	4.077771607411608	2.6086494819525003	5.776026512464161	17.262977403063374	-13.990550011509635	-0.0012339510252109107	2.197103234875482	0
12060	184	44577.99459195137	4.8871708019681925	2.67641006956452	6.145530471330532	18.524991773764604	-6.951454635773948	-0.001191420041898087	2.197130561070188	0
13021	203	50361.26652646065	4.51386003626387	2.685874736098114	6.117694510041478	19.593491656957212	-11.654592450299166	-0.0011858180708950274	2.1971387985099224	0
14019	217	53257.94660568237	5.028683373724893	3.612647274196708	5.954503967137384	20.2988926026131	-8.543633039727696	-0.0011661225962212773	2.197144177443414	0
